Perioden;Benzine;Diesel;Lpg
2006 zondag 1 januari;1,325;1,003;0,543
2006 maandag 2 januari;1,328;1,007;0,542
2006 dinsdag 3 januari;1,332;1,007;0,54
2006 woensdag 4 januari;1,348;1,02;0,55
2006 donderdag 5 januari;1,347;1,021;0,55
2006 vrijdag 6 januari;1,353;1,023;0,549
2006 zaterdag 7 januari;1,361;1,022;0,555
2006 zondag 8 januari;1,36;1,022;0,55
2006 maandag 9 januari;1,362;1,024;0,554
2006 dinsdag 10 januari;1,368;1,022;0,552
2006 woensdag 11 januari;1,369;1,018;0,56
2006 donderdag 12 januari;1,363;1,011;0,558
2006 vrijdag 13 januari;1,361;1,009;0,559
2006 zaterdag 14 januari;1,355;1,006;0,559
2006 zondag 15 januari;1,356;1,005;0,561
2006 maandag 16 januari;1,354;1,005;0,558
2006 dinsdag 17 januari;1,355;1,007;0,556
2006 woensdag 18 januari;1,36;1,013;0,561
2006 donderdag 19 januari;1,363;1,016;0,561
2006 vrijdag 20 januari;1,368;1,016;0,561
2006 zaterdag 21 januari;1,37;1,021;0,559
2006 zondag 22 januari;1,369;1,02;0,559
2006 maandag 23 januari;1,369;1,021;0,56
2006 dinsdag 24 januari;1,368;1,031;0,564
2006 woensdag 25 januari;1,369;1,031;0,565
2006 donderdag 26 januari;1,356;1,025;0,568
2006 vrijdag 27 januari;1,351;1,023;0,567
2006 zaterdag 28 januari;1,351;1,025;0,565
2006 zondag 29 januari;1,351;1,025;0,568
2006 maandag 30 januari;1,351;1,025;0,566
2006 dinsdag 31 januari;1,361;1,032;0,569
2006 woensdag 1 februari;1,36;1,032;0,567
2006 donderdag 2 februari;1,36;1,031;0,566
2006 vrijdag 3 februari;1,353;1,028;0,567
2006 zaterdag 4 februari;1,344;1,024;0,564
2006 zondag 5 februari;1,344;1,024;0,565
2006 maandag 6 februari;1,342;1,024;0,564
2006 dinsdag 7 februari;1,341;1,026;0,565
2006 woensdag 8 februari;1,341;1,026;0,559
2006 donderdag 9 februari;1,336;1,02;0,558
2006 vrijdag 10 februari;1,331;1,018;0,56
2006 zaterdag 11 februari;1,323;1,013;0,56
2006 zondag 12 februari;1,323;1,013;0,56
2006 maandag 13 februari;1,322;1,014;0,559
2006 dinsdag 14 februari;1,321;1,014;0,556
2006 woensdag 15 februari;1,314;1,011;0,547
2006 donderdag 16 februari;1,31;1,007;0,551
2006 vrijdag 17 februari;1,311;1,007;0,549
2006 zaterdag 18 februari;1,315;1,009;0,55
2006 zondag 19 februari;1,316;1,008;0,547
2006 maandag 20 februari;1,316;1,01;0,545
2006 dinsdag 21 februari;1,326;1,023;0,547
2006 woensdag 22 februari;1,33;1,026;0,54
2006 donderdag 23 februari;1,329;1,024;0,539
2006 vrijdag 24 februari;1,324;1,02;0,539
2006 zaterdag 25 februari;1,325;1,023;0,537
2006 zondag 26 februari;1,323;1,023;0,536
2006 maandag 27 februari;1,323;1,025;0,538
2006 dinsdag 28 februari;1,324;1,026;0,542
2006 woensdag 1 maart;1,322;1,026;0,535
2006 donderdag 2 maart;1,324;1,031;0,532
2006 vrijdag 3 maart;1,329;1,043;0,53
2006 zaterdag 4 maart;1,333;1,053;0,525
2006 zondag 5 maart;1,333;1,052;0,528
2006 maandag 6 maart;1,334;1,053;0,527
2006 dinsdag 7 maart;1,335;1,055;0,527
2006 woensdag 8 maart;1,329;1,049;0,523
2006 donderdag 9 maart;1,326;1,047;0,522
2006 vrijdag 10 maart;1,331;1,044;0,525
2006 zaterdag 11 maart;1,349;1,041;0,522
2006 zondag 12 maart;1,349;1,041;0,523
2006 maandag 13 maart;1,35;1,041;0,524
2006 dinsdag 14 maart;1,351;1,038;0,518
2006 woensdag 15 maart;1,364;1,041;0,519
2006 donderdag 16 maart;1,366;1,043;0,517
2006 vrijdag 17 maart;1,368;1,044;0,52
2006 zaterdag 18 maart;1,373;1,046;0,522
2006 zondag 19 maart;1,372;1,045;0,524
2006 maandag 20 maart;1,372;1,045;0,522
2006 dinsdag 21 maart;1,372;1,043;0,518
2006 woensdag 22 maart;1,365;1,038;0,518
2006 donderdag 23 maart;1,362;1,036;0,519
2006 vrijdag 24 maart;1,361;1,038;0,52
2006 zaterdag 25 maart;1,374;1,047;0,518
2006 zondag 26 maart;1,373;1,047;0,518
2006 maandag 27 maart;1,373;1,049;0,52
2006 dinsdag 28 maart;1,376;1,052;0,522
2006 woensdag 29 maart;1,38;1,052;0,519
2006 donderdag 30 maart;1,394;1,056;0,517
2006 vrijdag 31 maart;1,403;1,06;0,519
2006 zaterdag 1 april;1,407;1,062;0,517
2006 zondag 2 april;1,405;1,062;0,517
2006 maandag 3 april;1,406;1,062;0,519
2006 dinsdag 4 april;1,406;1,063;0,521
2006 woensdag 5 april;1,407;1,063;0,529
2006 donderdag 6 april;1,407;1,061;0,53
2006 vrijdag 7 april;1,419;1,059;0,528
2006 zaterdag 8 april;1,421;1,057;0,528
2006 zondag 9 april;1,421;1,056;0,53
2006 maandag 10 april;1,421;1,058;0,532
2006 dinsdag 11 april;1,425;1,062;0,53
2006 woensdag 12 april;1,434;1,075;0,526
2006 donderdag 13 april;1,436;1,077;0,526
2006 vrijdag 14 april;1,438;1,08;0,525
2006 zaterdag 15 april;1,437;1,081;0,521
2006 zondag 16 april;1,436;1,079;0,524
2006 maandag 17 april;1,437;1,08;0,525
2006 dinsdag 18 april;1,439;1,081;0,523
2006 woensdag 19 april;1,443;1,085;0,523
2006 donderdag 20 april;1,443;1,088;0,522
2006 vrijdag 21 april;1,45;1,095;0,52
2006 zaterdag 22 april;1,449;1,099;0,523
2006 zondag 23 april;1,448;1,099;0,524
2006 maandag 24 april;1,448;1,101;0,521
2006 dinsdag 25 april;1,447;1,1;0,523
2006 woensdag 26 april;1,448;1,101;0,515
2006 donderdag 27 april;1,449;1,101;0,514
2006 vrijdag 28 april;1,446;1,096;0,516
2006 zaterdag 29 april;1,434;1,083;0,513
2006 zondag 30 april;1,433;1,082;0,511
2006 maandag 1 mei;1,432;1,083;0,51
2006 dinsdag 2 mei;1,437;1,084;0,51
2006 woensdag 3 mei;1,449;1,086;0,506
2006 donderdag 4 mei;1,455;1,089;0,503
2006 vrijdag 5 mei;1,456;1,087;0,504
2006 zaterdag 6 mei;1,441;1,075;0,5
2006 zondag 7 mei;1,441;1,072;0,501
2006 maandag 8 mei;1,44;1,073;0,503
2006 dinsdag 9 mei;1,437;1,069;0,502
2006 woensdag 10 mei;1,43;1,066;0,501
2006 donderdag 11 mei;1,428;1,067;0,502
2006 vrijdag 12 mei;1,444;1,081;0,503
2006 zaterdag 13 mei;1,451;1,084;0,502
2006 zondag 14 mei;1,451;1,083;0,5
2006 maandag 15 mei;1,452;1,084;0,501
2006 dinsdag 16 mei;1,445;1,076;0,502
2006 woensdag 17 mei;1,433;1,069;0,498
2006 donderdag 18 mei;1,426;1,068;0,501
2006 vrijdag 19 mei;1,416;1,062;0,498
2006 zaterdag 20 mei;1,419;1,067;0,496
2006 zondag 21 mei;1,417;1,067;0,497
2006 maandag 22 mei;1,418;1,068;0,497
2006 dinsdag 23 mei;1,414;1,064;0,5
2006 woensdag 24 mei;1,418;1,065;0,497
2006 donderdag 25 mei;1,422;1,066;0,496
2006 vrijdag 26 mei;1,421;1,066;0,493
2006 zaterdag 27 mei;1,423;1,066;0,494
2006 zondag 28 mei;1,423;1,065;0,495
2006 maandag 29 mei;1,423;1,067;0,496
2006 dinsdag 30 mei;1,43;1,071;0,494
2006 woensdag 31 mei;1,435;1,075;0,49
2006 donderdag 1 juni;1,437;1,075;0,492
2006 vrijdag 2 juni;1,436;1,076;0,495
2006 zaterdag 3 juni;1,446;1,074;0,491
2006 zondag 4 juni;1,446;1,073;0,49
2006 maandag 5 juni;1,446;1,073;0,491
2006 dinsdag 6 juni;1,447;1,074;0,493
2006 woensdag 7 juni;1,453;1,081;0,49
2006 donderdag 8 juni;1,454;1,082;0,493
2006 vrijdag 9 juni;1,449;1,078;0,492
2006 zaterdag 10 juni;1,45;1,077;0,488
2006 zondag 11 juni;1,449;1,078;0,49
2006 maandag 12 juni;1,45;1,079;0,49
2006 dinsdag 13 juni;1,457;1,093;0,494
2006 woensdag 14 juni;1,454;1,091;0,494
2006 donderdag 15 juni;1,442;1,087;0,499
