Goederenstromen;Perioden;1000 kg
"Inkomend transport; totaal";2007*;103838966
"Inkomend transport; totaal";2008*;103405705
"Inkomend transport; totaal";2009*;89433416
"Inkomend transport; totaal";2010*;89935769
"Inkomend transport; totaal";2011*;91253760
"Inkomend transport; totaal";2012*;90216930
"Inkomend transport; totaal";2013*;89974158
"Inkomend transport; totaal";2014*;89776019
"Inkomend transport; totaal";2015*;90571185
"Inkomend transport; totaal";2016*;92156621
"Inkomend transport; totaal";2017*;95690398
"Inkomend transport; totaal";2018*;88416201
"Inkomend transport; totaal";2019*;95152853
"Inkomend transport; totaal";2020*;92330138
"Inkomend transport; totaal";2021*;95987685
"Invoer; totaal";2007*;83142375
"Invoer; totaal";2008*;84164642
"Invoer; totaal";2009*;71345723
"Invoer; totaal";2010*;74756032
"Invoer; totaal";2011*;73822000
"Invoer; totaal";2012*;74450899
"Invoer; totaal";2013*;75002883
"Invoer; totaal";2014*;72550638
"Invoer; totaal";2015*;68576694
"Invoer; totaal";2016*;71709118
"Invoer; totaal";2017*;70254369
"Invoer; totaal";2018*;63665053
"Invoer; totaal";2019*;69293963
"Invoer; totaal";2020*;50454017
"Invoer; totaal";2021*;53608310
"Inkomende doorvoer; totaal";2007*;22758861
"Inkomende doorvoer; totaal";2008*;20157667
"Inkomende doorvoer; totaal";2009*;18221232
"Inkomende doorvoer; totaal";2010*;17758620
"Inkomende doorvoer; totaal";2011*;19988265
"Inkomende doorvoer; totaal";2012*;15836941
"Inkomende doorvoer; totaal";2013*;15116600
"Inkomende doorvoer; totaal";2014*;17531903
"Inkomende doorvoer; totaal";2015*;22232505
"Inkomende doorvoer; totaal";2016*;21075115
"Inkomende doorvoer; totaal";2017*;26177668
"Inkomende doorvoer; totaal";2018*;25480397
"Inkomende doorvoer; totaal";2019*;26740625
"Inkomende doorvoer; totaal";2020*;42885017
"Inkomende doorvoer; totaal";2021*;43941260
"Uitgaand transport; totaal";2007*;106598589
"Uitgaand transport; totaal";2008*;104355675
"Uitgaand transport; totaal";2009*;96034467
"Uitgaand transport; totaal";2010*;94960247
"Uitgaand transport; totaal";2011*;96605244
"Uitgaand transport; totaal";2012*;93994335
"Uitgaand transport; totaal";2013*;99765622
"Uitgaand transport; totaal";2014*;94152624
"Uitgaand transport; totaal";2015*;90515369
"Uitgaand transport; totaal";2016*;101374184
"Uitgaand transport; totaal";2017*;99085413
"Uitgaand transport; totaal";2018*;95834214
"Uitgaand transport; totaal";2019*;107281041
"Uitgaand transport; totaal";2020*;98514624
"Uitgaand transport; totaal";2021*;98619893
"Uitvoer; totaal";2007*;70129755
"Uitvoer; totaal";2008*;70147936
"Uitvoer; totaal";2009*;65934129
"Uitvoer; totaal";2010*;73525166
"Uitvoer; totaal";2011*;70743647
"Uitvoer; totaal";2012*;73596213
"Uitvoer; totaal";2013*;81430238
"Uitvoer; totaal";2014*;69171707
"Uitvoer; totaal";2015*;58768988
"Uitvoer; totaal";2016*;76943347
"Uitvoer; totaal";2017*;65718100
"Uitvoer; totaal";2018*;65570553
"Uitvoer; totaal";2019*;73051547
"Uitvoer; totaal";2020*;51424986
"Uitvoer; totaal";2021*;43530234
"Uitgaande doorvoer; totaal";2007*;36251658
"Uitgaande doorvoer; totaal";2008*;31850577
"Uitgaande doorvoer; totaal";2009*;28264094
"Uitgaande doorvoer; totaal";2010*;21282497
"Uitgaande doorvoer; totaal";2011*;25685992
"Uitgaande doorvoer; totaal";2012*;20298049
"Uitgaande doorvoer; totaal";2013*;18231229
"Uitgaande doorvoer; totaal";2014*;24878532
"Uitgaande doorvoer; totaal";2015*;31663765
"Uitgaande doorvoer; totaal";2016*;24353615
"Uitgaande doorvoer; totaal";2017*;33289796
"Uitgaande doorvoer; totaal";2018*;30226974
"Uitgaande doorvoer; totaal";2019*;34203899
"Uitgaande doorvoer; totaal";2020*;47069891
"Uitgaande doorvoer; totaal";2021*;55067621
